"","year","loc","area","ur_perc","minimal_distance","tik","voters_n_scaled","voters_n","prot_full_perc","investment","investment_scaled","rural_perc","titular_perc","budget_autonomy_scaled","mun_spent_scaled","mun_spent","ID_3","area2","month_count","id","krpf_kurultai","str","proximity","proximity_scaled","month_count_scaled","krpf_kurultai_scaled","rural_perc_scaled","titular_perc_scaled"
"6067","2021","№556","Салават",31.5594059405941,23.2696142855344,"ТИК городского округа город Салават Республики Башкортостан",0.99198388031933,1600,66.8316831683168,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №556",0.449748743718593,"УИК",288.080227811741,1.44606052990974,-0.892024413325675,2.92459123467541,-1.53694817130127,-0.813744428502647
"6068","2021","№557","Салават",90.3958468526931,22.9013928916657,"ТИК городского округа город Салават Республики Башкортостан",0.924349573887968,1550,9.02011680726801,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №557",0.638888888888889,"УИК",288.448449205609,1.45080395515951,-0.892024413325675,4.78034737982318,-1.53694817130127,-0.813744428502647
"6069","2021","№558","Салават",64.334085778781,23.2282844284004,"ТИК городского округа город Салават Республики Башкортостан",-0.157799329013824,750,35.665914221219,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №558",0.149006622516556,"УИК",288.121557668875,1.44659294082112,-0.892024413325675,-0.0261521890591681,-1.53694817130127,-0.813744428502647
"6070","2021","№559","Салават",35.5555555555556,23.3887766326503,"ТИК городского округа город Салават Республики Башкортостан",0.518543735299796,1250,60.4444444444444,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №559",0.709190672153635,"УИК",287.961065464625,1.44452548144286,-0.892024413325675,5.47011615519836,-1.53694817130127,-0.813744428502647
"6071","2021","№56","Уфа",68.031968031968,117.960354691332,"Уфа",2.27703570251521,2550,31.4185814185814,78027,0.950285391508443,1.00730263717548,14.7968572713065,1.31396524615534,-0.740070019652442,998.6,"Уфа","г. Уфа",35,"УИК №56",0.328525641025641,"УИК",193.389487405943,0.226255118168539,-0.514585581792875,1.73520588470766,-1.51278468570068,-0.985724675892167
"6072","2021","№560","Салават",56.343792633015,23.1410564825658,"ТИК городского округа город Салават Республики Башкортостан",1.33015541247614,1850,42.2919508867667,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №560",0.485436893203884,"УИК",288.208785614709,1.44771661056885,-0.892024413325675,3.27474694940562,-1.53694817130127,-0.813744428502647
"6073","2021","№561","Салават",43.0917874396135,23.0212074812528,"ТИК городского округа город Салават Республики Башкортостан",0.65381234816252,1350,55.4589371980676,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №561",0.528938906752412,"УИК",288.328634616022,1.44926050450998,-0.892024413325675,3.70156870581432,-1.53694817130127,-0.813744428502647
"6074","2021","№562","Салават",80.8721506442022,23.7882113192833,"ТИК городского округа город Салават Республики Башкортостан",0.383275122437072,1150,18.3349851337958,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №562",0.552188552188552,"УИК",287.561630777992,1.43937996678848,-0.892024413325675,3.92968353755339,-1.53694817130127,-0.813744428502647
"6075","2021","№563","Салават",81.8615751789976,23.7665557913704,"ТИК городского округа город Салават Республики Башкортостан",0.112737896711624,950,17.5417661097852,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №563",0.445360824742268,"УИК",287.583286305905,1.43965893313756,-0.892024413325675,2.88153899107375,-1.53694817130127,-0.813744428502647
"6076","2021","№564","Салават",61.0820244328098,23.7736951114009,"ТИК городского округа город Салават Республики Башкортостан",-0.0225307161511001,850,36.8237347294939,119967,1.8132984824586,0,18.7716641426889,2.14746026968798,-0.977142482561049,789.7,"Салават","г. Салават",17,"УИК №564",0.434563758389262,"УИК",287.576146985874,1.43956696447017,-0.892024413325675,2.77560314008813,-1.53694817130127,-0.813744428502647
