"","year","loc","area","tik","uik","Число избирателей, внесенных в список избирателей на момент окончания голосования","dist_km","ur","turnout","protest","prot_full","treat","durat","dur_ful","tik_n","ur_perc","turnout_perc","prot_perc","voters_n","X","lat","lon","minimal_distance","proximity","num","month_count","mun_spent_scaled","rural_perc","titular_perc","investment_scaled","id","krpf_kurultai","str","krpf_kurultai_scaled","month_count_scaled","voters_n_scaled"
"4435",2016,"№2241","Караидельская","61 Учалинская",2241,160,213.146910002129,0.714285714285714,0.907407407407407,0.136054421768707,0.27891156462585,1,342.11,342.11,31,71.4285714285714,90.7407407407407,13.6054421768707,-0.931446952704296,2202,55.561701,56.857339,213114.940015736,311136.727157259,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2241",0.0482758620689655,"УИК",-0.996034978686404,-0.147604129631809,-0.914177592883228
"4436",2016,"№2242","Караидельская","61 Учалинская",2242,292,225.145132570325,0.590551181102362,0.827361563517915,0.267716535433071,0.389763779527559,1,290.828333333333,290.828333333333,31,59.0551181102362,82.7361563517915,26.7716535433071,-0.763299617279047,2203,55.716245,56.359771,225086.288738806,311124.755808536,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2242",0.1,"УИК",-0.490833613498412,-0.147604129631809,-0.7428342801575
"4437",2016,"№2243","Караидельская","53-59 Уфа",2243,141,226.314561074693,0.6484375,0.864864864864865,0.2578125,0.3515625,1,289.225,289.225,31,64.84375,86.4864864864865,25.78125,-0.955649978257931,2204,55.727947,56.332696,226254.360090712,311123.587737184,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2243",0.207920792079208,"УИК",0.563253195319569,-0.147604129631809,-0.938840645472538
"4438",2016,"№2244","Караидельская","53-59 Уфа",2244,98,226.981250301287,0.623655913978495,0.894230769230769,0.376344086021505,0.376344086021505,1,300.703333333333,300.703333333333,31,62.3655913978495,89.4230769230769,37.6344086021505,-1.01042524661616,2205,55.727993,56.450806,226926.634435694,311122.915462839,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2244",0.0879120879120879,"УИК",-0.608898987487401,-0.147604129631809,-0.994657027648343
"4439",2016,"№2245","Караидельская","61 Учалинская",2245,1215,236.279398742865,0.560951437066402,0.854360711261643,0.383548067393459,0.42814667988107,1,349.945,349.945,31,56.0951437066402,85.4360711261643,38.3548067393459,0.412457887247507,2206,55.76092,56.963133,236248.283202445,311113.593814073,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2245",0.193266832917706,"УИК",0.420124658626103,-0.147604129631809,0.455270853523157
"4440",2016,"№2246","Караидельская","61 Учалинская",2246,450,224.296453127795,0.632603406326034,0.911308203991131,0.250608272506083,0.35036496350365,1,365.088333333333,365.088333333333,31,63.2603406326034,91.1308203991131,25.0608272506083,-0.562032352148824,2207,55.624215,57.117015,224275.809404508,311125.566287871,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2246",0.0672043010752688,"УИК",-0.811156629633737,-0.147604129631809,-0.537741527046402
"4441",2016,"№2247","Караидельская","61 Учалинская",2247,225,222.576822523337,0.632558139534884,0.951327433628319,0.306976744186047,0.33953488372093,1,362.345,362.345,31,63.2558139534884,95.1327433628319,30.6976744186047,-0.848647128441863,2208,55.603639,57.140667,222557.886280179,311127.284210995,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2247",0.240223463687151,"УИК",0.878760702033578,-0.147604129631809,-0.829803991919802
"4442",2016,"№2248","Караидельская","61 Учалинская",2248,412,221.141449077456,0.599439775910364,0.879310344827586,0.330532212885154,0.400560224089636,1,341.08,341.08,31,59.9439775910364,87.9310344827586,33.0532212885154,-0.610438403256093,2209,55.57464,57.219378,221127.170249796,311128.714927025,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2248",0.106109324758842,"УИК",-0.431162455466562,-0.147604129631809,-0.587067632225021
"4443",2016,"№2249","Караидельская","61 Учалинская",2249,439,258.764330095276,0.5975,0.856531049250535,0.2975,0.39,1,356.838333333333,356.838333333333,31,59.75,85.6531049250535,29.75,-0.576044630100928,2210,55.949531,57.100135,258735.373859465,311091.106723416,"31",52,1.05913860981288,100,46.949364823761,-0.623386261889372,"УИК №2249",0.101818181818182,"УИК",-0.47307502005544,-0.147604129631809,-0.552020136440213
"4444",2016,"№225","Уфа","61 Учалинская",225,2136,118.871090060516,0.176390773405699,0.719024390243902,0.783582089552239,0.80325644504749,1,146.086666666667,146.086666666667,57,17.6390773405699,71.9024390243902,78.3582089552239,1.58566770487368,272,54.76728,56.025562,118794.037651843,311231.048059623,"53-59",57,-1.02219646426268,0.932114293459506,16.1242581463924,1.02111255076096,"УИК №225",0.179122182680902,"УИК",0.281970657504461,-0.0405959558367563,1.65077987640494
